Date,Rise (EST),Set (EST),Normal Max,Normal Min,Normal Mean,Record High ,ecord High Year    ,Record Low,Record Low Year,Record Low Max,Record Low Max Year,Record High Min,Record High Min Year
1,5:49,5:34,68,51,60,83,1986,37,1992,56,1992,65,1986
2,5:51,5:32,68,51,59,89,2019,36,1997,55,1984,65,2002
3,5:52,5:30,68,50,59,80,2002,34,2003,50,1974,67,1696
4,5:53,5:29,67,50,58,82,2013,33,1974,50,1987,69,1986
5,5:54,5:27,67,49,58,83,2002,31,1965,49,1965,66,2007
6,5:55,5:25,66,49,58,86,1997,30,1965,54,1965,65,2007
7,5:56,5:24,66,49,57,81,2007,33,1986,51,1988,69,2005
8,5:57,5:22,66,48,57,88,2007,34,2001,47,1988,72,2005
9,5:58,5:21,65,48,57,85,2011,30,2001,52,2000,71,2017
10,5:59,5:19,65,47,56,84,1997,32,2000,44,1979,67,1997
11,6:00,5:17,65,47,56,78,1990,31,1993,47,1979,66,1990
12,6:01,5:16,64,47,55,80,1995,28,1964,50,1987,67,1990
13,6:02,5:14,64,46,55,80,1995,32,2012,51,1988,70,1990
14,6:03,5:13,64,46,55,81,1990,31,1993,53,1979,66,1990
15,6:04,5:11,63,46,54,81,1990,33,1979,47,2009,68,2014
16,6:05,5:10,63,45,54,80,1963,33,1978,47,2009,60,2014
17,6:06,5:08,63,45,54,80,1963,34,1965,49,1976,61,2013
18,6:08,5:07,62,45,53,76,2016,31,1982,47,2009,63,1980
19,6:09,5:05,62,44,53,84,2016,27,1976,46,1974,67,2007
20,6:10,5:04,62,44,53,74,1984,30,1974,45,1974,58,1994
21,6:11,5:02,61,44,52,76,2016,29,1974,46,1974,64,2016
22,6:12,5:01,61,43,52,77,1979,27,1974,50,1976,63,1984
23,6:13,5:00,61,43,52,78,1978,30,1997,44,1969,65,2007
24,6:14,4:58,60,43,52,74,2001,25,1969,50,2003,61,2001
25,6:15,4:57,60,43,51,76,2001,30,2003,51,1982,59,1975
26,6:17,4:56,60,42,51,75,1971,30,1969,47,1979,60,2010
27,6:18,4:54,59,42,51,80,1963,30,2006,40,1976,64,2010
28,6:19,4:53,59,42,50,75,1971,30,1976,43,1976,60,1984
29,6:20,4:52,59,42,50,75,1971,30,1970,44,2011,58,1984
30,6:21,4:50,59,41,50,77,2016,26,1966,44,1966,56,2004
31,6:22,4:49,58,41,50,73,2004,23,1966,45,1988,59,1989
